[0, 0, 0, 0, 0, 1, 0, 0] 0 [0, 0, 0, 0, 0, 1, 0, 0] [0.01, 0.04, 0, 0.018, 0.023, 0.886, 0, 0.023]
[0, 0, 0, 0, 0, 1, 0, 0] 1 [0, 0, 0, 0, 0, 0, 1, 0] [0.024, 0.008, 0.028, 0.005, 0.034, 0.014, 0.88, 0.007]
[0, 0, 0, 0, 0, 1, 0, 0] 2 [0, 0, 0, 0, 0, 0, 0, 1] [0.002, 0.011, 0.011, 0.035, 0, 0.019, 0.025, 0.897]
[0, 0, 0, 0, 0, 1, 0, 0] 3 [1, 0, 0, 0, 0, 0, 0, 0] [0.886, 0.016, 0.019, 0.008, 0.032, 0.002, 0.014, 0.023]
[0, 0, 0, 0, 0, 1, 0, 0] 4 [0, 1, 0, 0, 0, 0, 0, 0] [0.045, 0.884, 0.007, 0.019, 0.014, 0.023, 0.004, 0.004]
[0, 0, 0, 0, 0, 1, 0, 0] 5 [0, 0, 1, 0, 0, 0, 0, 0] [0.01, 0.022, 0.868, 0.032, 0.008, 0.003, 0.041, 0.016]
[0, 0, 0, 0, 0, 1, 0, 0] 6 [0, 0, 0, 1, 0, 0, 0, 0] [0.001, 0.013, 0.023, 0.912, 0.001, 0.007, 0.008, 0.035]
[0, 0, 0, 0, 0, 1, 0, 0] 7 [0, 0, 0, 0, 1, 0, 0, 0] [0.025, 0.001, 0.014, 0.019, 0.889, 0.015, 0.017, 0.02]
[0, 0, 0, 0, 0, 0, 1, 0] 0 [0, 0, 0, 0, 0, 0, 1, 0] [0.005, 0.001, 0.038, 0.006, 0.009, 0, 0.928, 0.013]
[0, 0, 0, 0, 0, 0, 1, 0] 1 [0, 0, 0, 0, 0, 0, 0, 1] [0.004, 0.012, 0.007, 0.024, 0.003, 0.019, 0.01, 0.921]
[0, 0, 0, 0, 0, 0, 1, 0] 2 [1, 0, 0, 0, 0, 0, 0, 0] [0.934, 0.015, 0.012, 0, 0.022, 0.01, 0.006, 0.001]
[0, 0, 0, 0, 0, 0, 1, 0] 3 [0, 1, 0, 0, 0, 0, 0, 0] [0.009, 0.907, 0.006, 0.028, 0.002, 0.032, 0.004, 0.012]
[0, 0, 0, 0, 0, 0, 1, 0] 4 [0, 0, 1, 0, 0, 0, 0, 0] [0.019, 0, 0.93, 0.017, 0.009, 0, 0.019, 0.006]
[0, 0, 0, 0, 0, 0, 1, 0] 5 [0, 0, 0, 1, 0, 0, 0, 0] [0.008, 0.029, 0.02, 0.889, 0.013, 0.014, 0.007, 0.02]
[0, 0, 0, 0, 0, 0, 1, 0] 6 [0, 0, 0, 0, 1, 0, 0, 0] [0.035, 0.001, 0.018, 0, 0.9, 0.013, 0.033, 0]
[0, 0, 0, 0, 0, 0, 1, 0] 7 [0, 0, 0, 0, 0, 1, 0, 0] [0.002, 0.035, 0.004, 0.015, 0.008, 0.917, 0.003, 0.016]
[0, 0, 0, 0, 0, 0, 0, 1] 0 [0, 0, 0, 0, 0, 0, 0, 1] [0.003, 0.012, 0.014, 0.033, 0.007, 0.019, 0.022, 0.89]
[0, 0, 0, 0, 0, 0, 0, 1] 1 [1, 0, 0, 0, 0, 0, 0, 0] [0.854, 0.008, 0.026, 0.021, 0.043, 0.008, 0.018, 0.022]
[0, 0, 0, 0, 0, 0, 0, 1] 2 [0, 1, 0, 0, 0, 0, 0, 0] [0.025, 0.868, 0.002, 0.024, 0.01, 0.048, 0.004, 0.019]
